"id";"name"
23;"Jogoo Road"
24;"Donholm"
25;"Mutindwa"
26;"Caltex"
27;"Charina/Sharina"
28;"KCC"
29;"Umoja 3"
30;"Mama Lucy"
31;"Kwa Maji"
32;"Feroze/Pheroze"
33;"Saika"
34;"Kayole Junction"
35;"Chokaa"
36;"Njiru"
37;"Eastern Bypass"
38;"Ruai"
39;"Kamulu"
40;"Joska"
41;"Malaa"
42;"Kenyatta (KMTC)"
43;"Ngumo"
44;"Chiromo"
45;"Westlands"
46;"ABC Place"
47;"Nairobi School"
48;"Kangemi"
49;"Uthiru"
50;"Kinoo"
51;"NHIF"
52;"City Eye Hospital/Traffic"
53;"Ngong Road"
54;"Uchumi"
55;"Prestige"
56;"Adams Arcade"
57;"RFUEA Grounds"
58;"Kenya Science"
59;"Karen"
60;"Ngong"
61;"Thika Road"
62;"Allsops"
63;"Kariobangi"
64;"Rounda"
65;"Total"
66;"Dandora"
67;"Garden City"
68;"Roysambu"
69;"TRM"
70;"Kasarani"
71;"Carwash"
72;"Equity"
73;"Seasons"
74;"Maternity"
75;"Hunters"
76;"Sunton"
77;"Mwiki"
